niang,nyang,niang,nhiang
niao,nyau,niao,nhiau
nie,nye,nieh,nhie
nin,nin,nin,nhin
ning,ning,ning,nhing
niu,nyou,niu,nhiou
nong,nung,nung,nhong
nou,nou,nou,nhou
nu,nu,nu,nhu
nü,nyu,nü,nhiu
nuan,nwan,nuan,nhuan
nue,nywe,nüeh,nhiue
nüe,nywe,nüeh,nhuen
nuo,nwo,no,nhuo
ou,ou,ou,ou
pa,pa,p'a,pa
pai,pai,p'ai,pai
pan,pan,p'an,pan
pang,pang,p'ang,pang
pao,pau,p'ao,pau
pei,pei,p'ei,pei
pen,pen,p'en,pen
peng,peng,p'eng,peng
pi,pi,p'i,pi
pian,pyan,p'ien,pian
piao,pyau,p'iao,piau
pie,pye,p'ieh,pie
pin,pin,p'in,pin
ping,ping,p'ing,ping
po,pwo,p'o,po
pou,pou,p'ou,pou
pu,pu,p'u,pu
qi,chi,ch'i,chi
qia,chya,ch'ia,chia
qian,chyan,ch'ien,chian
qiang,chyang,ch'iang,chiang
qiao,chyau,ch'iao,chiau
qie,chye,ch'ieh,chie
qin,chin,ch'in,chin
qing,ching,ch'ing,ching
qiong,chyung,ch'iung,chiong
qiu,chyou,ch'iu,chiou
qu,chyu,ch'ü,chiu
quan,chywan,ch'üan,chiuan
que,chywe,ch'üeh,chiue
qun,chyun,ch'ün,chiun
ran,ran,jan,rhan
rang,rang,jang,rhang
rao,rau,jao,rhau
re,re,je,rhe
ren,ren,jen,rhen
reng,reng,jeng,rheng
ri,r,jih,rhy
rong,rung,jung,rhong
rou,rou,jou,rhou
ru,ru,ju,rhu
ruan,rwan,juan,rhuan
rui,rwei,jui,rhuei
run,rwun,jun,rhuen
ruo,rwo,jo,rhuo
sa,sa,sa,sa
sai,sai,sai,sai
san,san,san,san
sang,sang,sang,sang
sao,sau,sao,sau
se,se,se,se
sen,sen,sen,sen
seng,seng,seng,seng
sha,sha,sha,sha
shai,shai,shai,shai
shan,shan,shan,shan
shang,shang,shang,shang
shao,shau,shao,shau
she,she,she,she
shen,shen,shen,shen
sheng,sheng,sheng,sheng
shi,shr,shih,shy
shou,shou,shou,shou
shu,shu,shu,shu
shua,shwa,shua,shua
shuai,shwai,shuai,shuai
shuan,shwan,shuan,shuan
shuang,shwang,shuang,shuang
shui,shwei,shui,shuei
shun,shwun,shun,shuen
shuo,shwo,shuo,shuo
si,sz,ssu,sy
song,sung,sung,song
sou,sou,sou,sou
su,su,su,su
suan,swan,suan,suan
sui,swei,sui,suei
sun,swun,sun,suen
suo,swo,so,suo
ta,ta,t'a,ta
tai,tai,t'ai,tai
tan,tan,t'an,tan
tang,tang,t'ang,tang
tao,tau,t'ao,tau
te,te,t'e,te
teng,teng,t'eng,teng
ti,ti,t'i,ti
tian,tyan,t'ien,tian
tiao,tyau,t'iao,tiau
tie,tye,t'ieh,tie
ting,ting,t'ing,ting
tong,tung,t'ung,tong
tou,tou,t'ou,tou
tu,tu,t'u,tu
tuan,twan,t'uan,tuan
tui,twei,t'ui,tuei
tun,twun,t'un,tuen
tuo,two,t'o,tuo
wa,wa,wa,ua
wai,wai,wai,uai
wan,wan,wan,uan
wang,wang,wang,uang
wei,wei,wei,uei
wen,wen,wen,uen
weng,weng,weng,ueng
wo,wo,wo,uo
wu,wu,wu,u
xi,syi,hsi,shi
xia,sya,hsia,shia
xian,syan,hsien,shian
xiang,syang,hsiang,shiang
xiao,syau,hsiao,shiau
xie,sye,hsieh,shie
xin,syin,hsin,shin
xing,sying,hsing,shing
xiong,syung,hsiung,shiong
xiu,syou,hsiu,shiou
xu,syu,hsü,shiu
xuan,sywan,hsüan,shiuan
xue,sywe,hsüeh,shiue
xun,syun,hsün,shiun
ya,ya,ya,ia
yai,yai,yai,ian
yan,yan,yen,iang
yang,yang,yang,iau
yao,yau,yao,ie
ye,ye,yeh,i
yi,yi,i,in
yin,yin,yin,ing
ying,ying,ying,iong
yo,yo,yo,iou
yong,yung,yung,iu
you,you,yu,iuan
yu,yu,yü,iue
yuan,ywan,yüan,iun
yue,ywe,yüeh,iue
yun,yun,yün,iun
za,dza,tsa,tza
zai,dzai,tsai,tzai
zan,dzan,tsan,tzan
zang,dzang,tsang,tzang
zao,dzau,tsao,tzau
ze,dze,tse,tze
zei,dzei,tsei,tzei
zen,dzen,tsen,tzen
zeng,dzeng,tseng,tzeng
